Country,World,Forecast(World),Lower Confidence Bound(World),Upper Confidence Bound(World),,Statistic,Value
1990,32363.07,,,,,Alpha,0.50
1991,32523.96,,,,,Beta,0.00
1992,32426.66,,,,,Gamma,0.50
1993,32509.02,,,,,MASE,1.06
1994,32714.02,,,,,SMAPE,0.01
1995,33428.59,,,,,MAE,686.31
1996,33785.76,,,,,RMSE,820.88
1997,35091.51,,,,,,
1998,34608.21,,,,,,
1999,34610.64,,,,,,
2000,35256.48,,,,,,
2001,35345.86,,,,,,
2002,36359.55,,,,,,
2003,37234.16,,,,,,
2004,39037.49,,,,,,
2005,39901.06,,,,,,
2006,41421.45,,,,,,
2007,42226.46,,,,,,
2008,42604.61,,,,,,
2009,42643.12,,,,,,
2010,44337.35,,,,,,
2011,44476.66,,,,,,
2012,45024.18,,,,,,
2013,45636.26,,,,,,
2014,46230.51,,,,,,
2015,46311.75,,,,,,
2016,46960.71,,,,,,
2017,47528.24,,,,,,
2018,48481.49,48481.49,48481.49,48481.49,,,
2019,,48212.78567,46580.02,49845.55,,,
2020,,49279.74533,47453.53,51105.96,,,
2021,,49080.02937,47078.31,51081.75,,,
2022,,49551.3292,47387.68,51714.98,,,
2023,,50152.54587,47837.68,52467.41,,,
2024,,51184.16072,48726.83,53641.49,,,
2025,,51903.3787,49310.88,54495.87,,,
2026,,53168.03216,50446.58,55889.48,,,
2027,,54249.70972,51404.66,57094.75,,,
2028,,55063.42412,52099.48,58027.37,,,
2029,,54794.9968,51403.97,58186.03,,,
2030,,55861.95646,52369.79,59354.12,,,
2031,,55662.24051,52071.41,59253.07,,,
2032,,56133.54034,52446.31,59820.77,,,
2033,,56734.757,52953.22,60516.29,,,
2034,,57766.37185,53892.48,61640.27,,,
2035,,58485.58983,54521.14,62450.04,,,
2036,,59750.24329,55696.92,63803.57,,,
2037,,60831.92085,56691.30,64972.55,,,
2038,,61645.63525,57419.19,65872.08,,,
2039,,61377.20793,56835.06,65919.35,,,
2040,,62444.16759,57823.05,67065.28,,,
2041,,62244.45164,57545.40,66943.51,,,
2042,,62715.75147,57939.74,67491.77,,,
2043,,63316.96813,58464.92,68169.01,,,
2044,,64348.58298,59421.40,69275.77,,,
2045,,65067.80096,60066.33,70069.27,,,
2046,,66332.45443,61257.50,71407.41,,,
2047,,67414.13199,62266.48,72561.79,,,
2048,,68227.84639,63008.23,73447.46,,,
2049,,67959.41906,62476.07,73442.77,,,
2050,,69026.37872,63474.91,74577.85,,,
