Date,Mediterranean,Forecast(Mediterranean),Lower Confidence Bound(Mediterranean),Upper Confidence Bound(Mediterranean)
1900,14.85412963,,,
1901,14.97680967,,,
1902,14.94748765,,,
1903,14.4934928,,,
1904,14.63053909,,,
1905,14.43331996,,,
1906,14.57281276,,,
1907,14.37046811,,,
1908,14.49891667,,,
1909,14.81236831,,,
1910,14.58111626,,,
1911,14.40197531,,,
1912,14.56771091,,,
1913,14.5047716,,,
1914,14.89327469,,,
1915,15.01015123,,,
1916,14.92893724,,,
1917,14.62510597,,,
1918,14.64395782,,,
1919,14.917,,,
1920,14.48256687,,,
1921,14.82066461,,,
1922,15.13948765,,,
1923,14.87955761,,,
1924,14.80932202,,,
1925,14.88513272,,,
1926,14.94592387,,,
1927,15.13098354,,,
1928,14.97234774,,,
1929,14.7701142,,,
1930,15.09868519,,,
1931,14.95365535,,,
1932,14.93014095,,,
1933,14.83920988,,,
1934,14.92570473,,,
1935,15.08314815,,,
1936,14.96000412,,,
1937,15.23835597,,,
1938,15.15538272,,,
1939,15.27773148,,,
1940,15.1643714,,,
1941,15.29201955,,,
1942,15.15254835,,,
1943,15.00923765,,,
1944,15.00269239,,,
1945,14.85094342,,,
1946,15.27850926,,,
1947,15.30715741,,,
1948,15.03252675,,,
1949,14.80274691,,,
1950,15.02383128,,,
1951,15.09422737,,,
1952,15.21589815,,,
1953,15.06854835,,,
1954,15.17847119,,,
1955,15.56369239,,,
1956,14.79635494,,,
1957,14.91687037,,,
1958,15.33444033,,,
1959,15.12231996,,,
1960,15.41321399,,,
1961,15.38048663,,,
1962,15.44384362,,,
1963,15.2969465,,,
1964,14.85418519,,,
1965,15.0130072,,,
1966,15.47158745,,,
1967,14.83175412,,,
1968,15.07309053,,,
1969,14.93589815,,,
1970,15.22090947,,,
1971,15.00930247,,,
1972,14.73740535,,,
1973,15.12873251,,,
1974,14.86344239,,,
1975,15.01711214,,,
1976,14.66799486,,,
1977,15.29164712,,,
1978,15.28556173,,,
1979,15.49684774,,,
1980,15.17366049,,,
1981,15.39000926,,,
1982,14.98617284,,,
1983,15.08716049,,,
1984,14.9217284,,,
1985,15.3069856,,,
1986,15.25651337,,,
1987,15.44313992,,,
1988,15.31000412,,,
1989,15.45525926,,,
1990,15.78706481,,,
1991,15.37096296,,,
1992,14.85684568,,,
1993,15.03610494,,,
1994,15.79791461,,,
1995,15.59111317,,,
1996,15.42522942,,,
1997,15.52498251,,,
1998,16.1633107,,,
1999,16.12347634,,,
2000,15.79685802,,,
2001,16.09204527,,,
2002,15.94303704,,,
2003,15.75563786,,,
2004,15.9432356,,,
2005,15.73685082,,,
2006,16.02969136,,,
2007,16.00896605,,,
2008,15.85965226,,,
2009,15.98228704,,,
2010,16.4430607,,,
2011,15.75854527,,,
2012,16.02226852,,,
2013,17.2418192,17.2418192,17.24,17.24
2014,,16.17707117,15.75,16.60
2015,,16.54149556,16.10,16.98
2016,,15.75852594,15.30,16.21
2017,,15.86753034,15.40,16.33
2018,,16.27676493,15.80,16.76
2019,,16.06952775,15.58,16.56
2020,,16.3576404,15.85,16.86
2021,,16.35237659,15.84,16.87
2022,,16.39264851,15.87,16.92
2023,,16.18662926,15.65,16.73
2024,,15.86144927,15.31,16.41
2025,,15.9435136,15.38,16.51
2026,,16.3449711,15.77,16.92
2027,,15.80003404,15.22,16.38
2028,,16.01806422,15.42,16.61
2029,,15.96716769,15.36,16.57
2030,,16.14298735,15.53,16.76
2031,,15.94307246,15.32,16.57
2032,,15.7575775,15.12,16.39
2033,,16.0540631,15.41,16.70
2034,,15.91741413,15.26,16.58
2035,,16.04931765,15.38,16.72
2036,,15.73881088,15.06,16.42
2037,,16.17043675,15.48,16.86
2038,,16.18295262,15.48,16.88
2039,,16.41804755,15.71,17.13
2040,,16.08317829,15.37,16.80
2041,,16.33407446,15.61,17.06
2042,,16.07225623,15.33,16.81
2043,,16.08849855,15.34,16.84
2044,,15.93728224,15.18,16.69
2045,,16.25870459,15.49,17.02
