Date,Savanna,Forecast(Savanna),Lower Confidence Bound(Savanna),Upper Confidence Bound(Savanna)
1900,25.59744633,,,
1901,25.36038842,,,
1902,25.47132203,,,
1903,25.19714266,,,
1904,24.95996328,,,
1905,25.24695056,,,
1906,25.27771186,,,
1907,25.07080367,,,
1908,25.15186723,,,
1909,25.19527119,,,
1910,25.10421469,,,
1911,25.22693927,,,
1912,25.42979661,,,
1913,25.3200791,,,
1914,25.46954096,,,
1915,25.71084322,,,
1916,25.14512147,,,
1917,24.9464209,,,
1918,25.14230791,,,
1919,25.5549548,,,
1920,25.40001554,,,
1921,25.30123729,,,
1922,25.34980791,,,
1923,25.28015678,,,
1924,25.44077825,,,
1925,25.27381921,,,
1926,25.64936299,,,
1927,25.47071045,,,
1928,25.54471469,,,
1929,25.42365537,,,
1930,25.43159463,,,
1931,25.72721328,,,
1932,25.3825339,,,
1933,25.33933475,,,
1934,25.25810876,,,
1935,25.41390395,,,
1936,25.51487853,,,
1937,25.50848729,,,
1938,25.40111582,,,
1939,25.47404661,,,
1940,25.60289266,,,
1941,26.10179379,,,
1942,25.7486596,,,
1943,25.31609887,,,
1944,25.55191102,,,
1945,25.43888559,,,
1946,25.56801977,,,
1947,25.67040113,,,
1948,25.61433333,,,
1949,25.53269915,,,
1950,25.31829379,,,
1951,25.63825847,,,
1952,25.71419209,,,
1953,25.76589548,,,
1954,25.56271893,,,
1955,25.37021893,,,
1956,25.33725,,,
1957,25.66512429,,,
1958,25.94666102,,,
1959,25.78708898,,,
1960,25.73058192,,,
1961,25.5602274,,,
1962,25.52173729,,,
1963,25.62248729,,,
1964,25.53160169,,,
1965,25.58437853,,,
1966,25.82291667,,,
1967,25.51625282,,,
1968,25.47989124,,,
1969,26.01521328,,,
1970,25.69309322,,,
1971,25.36257768,,,
1972,25.86696186,,,
1973,26.02249576,,,
1974,25.48175847,,,
1975,25.42746469,,,
1976,25.54946186,,,
1977,25.84771893,,,
1978,25.65825847,,,
1979,25.9247952,,,
1980,25.99808192,,,
1981,25.71172599,,,
1982,25.79332345,,,
1983,26.00565678,,,
1984,25.76295763,,,
1985,25.72087288,,,
1986,25.82867514,,,
1987,26.2944435,,,
1988,25.99149011,,,
1989,25.61064972,,,
1990,25.88924011,,,
1991,25.88590254,,,
1992,25.79600565,,,
1993,25.92444633,,,
1994,25.87734887,,,
1995,26.0058291,,,
1996,25.95396751,,,
1997,26.08051554,,,
1998,26.56633475,,,
1999,25.91858616,,,
2000,25.94073305,,,
2001,26.12426836,,,
2002,26.29495904,,,
2003,26.3172161,,,
2004,26.08644633,,,
2005,26.21291384,,,
2006,26.18485734,,,
2007,26.19950141,,,
2008,25.99012288,,,
2009,26.38529379,,,
2010,26.45792797,,,
2011,26.06855932,,,
2012,26.33642373,,,
2013,26.84110358,26.84110358,26.84,26.84
2014,,26.21971258,25.85,26.58
2015,,26.01708654,25.64,26.39
2016,,25.97564389,25.59,26.36
2017,,26.29885981,25.90,26.70
2018,,26.57608418,26.17,26.99
2019,,26.41568594,26.00,26.84
2020,,26.35689157,25.93,26.79
2021,,26.17228626,25.73,26.61
2022,,26.16257605,25.71,26.61
2023,,26.18913153,25.73,26.65
2024,,26.07927609,25.61,26.55
2025,,26.18810239,25.71,26.67
2026,,26.39087966,25.90,26.88
2027,,26.1120229,25.61,26.61
2028,,26.10231468,25.59,26.61
2029,,26.54548836,26.03,27.06
2030,,26.2820048,25.76,26.81
2031,,26.04246635,25.51,26.58
2032,,26.48094328,25.94,27.03
2033,,26.58768754,26.03,27.14
2034,,26.18548574,25.62,26.75
2035,,26.17282402,25.60,26.74
2036,,26.14426353,25.56,26.72
2037,,26.35212425,25.76,26.94
2038,,26.25340905,25.66,26.85
2039,,26.55163507,25.95,27.16
2040,,26.58111872,25.97,27.19
2041,,26.33604883,25.71,26.96
2042,,26.41080639,25.78,27.04
2043,,26.5705681,25.93,27.21
2044,,26.41253384,25.77,27.06
2045,,26.34219252,25.69,27.00
