Date,Temperate,Forecast(Temperate),Lower Confidence Bound(Temperate),Upper Confidence Bound(Temperate)
1900,8.874458333,,,
1901,8.612392857,,,
1902,8.480983631,,,
1903,8.620380952,,,
1904,8.566535714,,,
1905,8.455873512,,,
1906,8.695044643,,,
1907,8.22878869,,,
1908,8.291721726,,,
1909,8.358767857,,,
1910,8.537267857,,,
1911,8.584550595,,,
1912,8.219308036,,,
1913,8.645369048,,,
1914,8.738691964,,,
1915,8.65133631,,,
1916,8.739278274,,,
1917,8.257577381,,,
1918,8.670196429,,,
1919,8.51552381,,,
1920,8.61105506,,,
1921,8.978540179,,,
1922,8.579401786,,,
1923,8.905775298,,,
1924,8.46161756,,,
1925,8.889284226,,,
1926,8.987022321,,,
1927,8.949608631,,,
1928,8.684723214,,,
1929,8.2498125,,,
1930,9.049909226,,,
1931,8.496912202,,,
1932,8.776486607,,,
1933,8.389602679,,,
1934,8.938907738,,,
1935,8.75906994,,,
1936,8.816203869,,,
1937,9.018779762,,,
1938,9.209866071,,,
1939,9.165971726,,,
1940,8.505526786,,,
1941,8.635602679,,,
1942,8.551516369,,,
1943,9.208123512,,,
1944,8.94172619,,,
1945,8.763900298,,,
1946,9.185733631,,,
1947,9.041959821,,,
1948,9.321901786,,,
1949,9.230708333,,,
1950,9.046087798,,,
1951,9.089657738,,,
1952,9.019511905,,,
1953,9.035315476,,,
1954,8.48840625,,,
1955,9.245566964,,,
1956,8.051581845,,,
1957,8.988081845,,,
1958,9.158619048,,,
1959,9.149860119,,,
1960,8.994877976,,,
1961,9.639190476,,,
1962,9.054238095,,,
1963,8.875590774,,,
1964,8.79846875,,,
1965,8.697872024,,,
1966,9.337354167,,,
1967,9.061824405,,,
1968,9.145572917,,,
1969,8.263058036,,,
1970,9.005706845,,,
1971,9.099686012,,,
1972,8.66190625,,,
1973,9.072921131,,,
1974,8.887638393,,,
1975,9.440071429,,,
1976,8.553729167,,,
1977,9.06166369,,,
1978,8.778584821,,,
1979,9.233724702,,,
1980,8.660501488,,,
1981,9.282642857,,,
1982,9.410477679,,,
1983,9.589196429,,,
1984,8.785330357,,,
1985,8.752745536,,,
1986,9.163488095,,,
1987,9.03635119,,,
1988,9.435071429,,,
1989,9.816793155,,,
1990,10.15776339,,,
1991,9.40713244,,,
1992,9.39978125,,,
1993,8.992605655,,,
1994,9.90934375,,,
1995,9.876266369,,,
1996,9.06586756,,,
1997,9.72555506,,,
1998,10.0575372,,,
1999,10.01420089,,,
2000,9.918949405,,,
2001,9.898580357,,,
2002,10.1363631,,,
2003,9.872090774,,,
2004,9.980733631,,,
2005,9.639502976,,,
2006,10.03189435,,,
2007,10.39787798,,,
2008,10.01968304,,,
2009,9.950584821,,,
2010,9.784855655,,,
2011,9.929245536,,,
2012,9.916793155,,,
2013,11.57245635,11.57245635,11.57,11.57
2014,,10.79692009,10.06,11.54
2015,,11.14526372,10.32,11.97
2016,,10.54322356,9.63,11.45
2017,,11.03505694,10.05,12.02
2018,,10.91966493,9.87,11.97
2019,,11.30107726,10.19,12.42
2020,,10.69303276,9.52,11.87
2021,,11.02528218,9.79,12.26
2022,,10.90752353,9.62,12.20
2023,,11.15589145,9.81,12.50
2024,,10.6984436,9.30,12.10
2025,,10.80262922,9.35,12.25
2026,,11.28230704,9.78,12.78
2027,,11.14900089,9.60,12.69
2028,,11.46703265,9.88,13.06
2029,,11.60755177,9.97,13.24
2030,,11.63149146,9.95,13.31
2031,,11.13245836,9.41,12.86
2032,,11.17689275,9.41,12.94
2033,,11.04781998,9.24,12.86
2034,,11.4496247,9.60,13.30
2035,,11.43949517,9.55,13.33
2036,,10.57856885,8.65,12.51
2037,,11.17313786,9.21,13.14
2038,,11.38917003,9.38,13.39
2039,,11.29215615,9.25,13.33
2040,,11.19368633,9.12,13.27
2041,,11.47810617,9.36,13.59
2042,,11.48558042,9.33,13.64
2043,,11.25796868,9.07,13.44
2044,,11.26085097,9.04,13.48
2045,,11.07581296,8.82,13.33
