Date,Tundra,Forecast(Tundra),Lower Confidence Bound(Tundra),Upper Confidence Bound(Tundra)
1900,-0.773388889,,,
1901,-0.304527778,,,
1902,-1.538277778,,,
1903,-0.079527778,,,
1904,-0.636166667,,,
1905,0.796861111,,,
1906,0.165527778,,,
1907,-0.641888889,,,
1908,-0.075277778,,,
1909,-0.7275,,,
1910,-0.021388889,,,
1911,-0.065333333,,,
1912,-0.042166667,,,
1913,0.210972222,,,
1914,0.591972222,,,
1915,-0.617,,,
1916,-0.1695,,,
1917,-1.033944444,,,
1918,-0.441611111,,,
1919,-0.565777778,,,
1920,0.611166667,,,
1921,0.3265,,,
1922,-0.047944444,,,
1923,0.080277778,,,
1924,0.116055556,,,
1925,0.175444444,,,
1926,0.869861111,,,
1927,-0.488083333,,,
1928,0.161416667,,,
1929,-0.106972222,,,
1930,0.466527778,,,
1931,0.402222222,,,
1932,0.310694444,,,
1933,-0.380472222,,,
1934,1.370416667,,,
1935,0.493333333,,,
1936,0.960888889,,,
1937,0.875888889,,,
1938,1.265027778,,,
1939,0.109416667,,,
1940,0.100111111,,,
1941,-0.747888889,,,
1942,-0.327611111,,,
1943,1.365333333,,,
1944,0.918527778,,,
1945,0.083916667,,,
1946,0.004138889,,,
1947,0.009583333,,,
1948,0.112916667,,,
1949,0.591833333,,,
1950,0.288472222,,,
1951,0.186,,,
1952,-0.118583333,,,
1953,0.898805556,,,
1954,0.355555556,,,
1955,-1.014833333,,,
1956,-1.120944444,,,
1957,0.937944444,,,
1958,-0.247944444,,,
1959,0.661916667,,,
1960,0.472916667,,,
1961,0.385472222,,,
1962,0.190444444,,,
1963,-0.036944444,,,
1964,-0.124527778,,,
1965,-0.488916667,,,
1966,-1.2605,,,
1967,0.828777778,,,
1968,-0.569583333,,,
1969,-0.211472222,,,
1970,0.107833333,,,
1971,-0.722555556,,,
1972,0.10675,,,
1973,-0.133027778,,,
1974,1.065888889,,,
1975,0.595805556,,,
1976,0.138694444,,,
1977,0.568277778,,,
1978,0.075527778,,,
1979,-0.049777778,,,
1980,0.022944444,,,
1981,0.805333333,,,
1982,0.237777778,,,
1983,0.892222222,,,
1984,0.945416667,,,
1985,-0.775888889,,,
1986,0.342527778,,,
1987,-0.078083333,,,
1988,0.953666667,,,
1989,1.351138889,,,
1990,0.83675,,,
1991,0.876972222,,,
1992,0.564027778,,,
1993,0.910638889,,,
1994,0.559888889,,,
1995,1.162833333,,,
1996,0.099277778,,,
1997,0.925055556,,,
1998,0.285666667,,,
1999,0.324277778,,,
2000,1.820861111,,,
2001,0.669166667,,,
2002,1.280694444,,,
2003,1.69225,,,
2004,1.610472222,,,
2005,1.906,,,
2006,1.185666667,,,
2007,1.534527778,,,
2008,1.131444444,,,
2009,1.002805556,,,
2010,0.310861111,,,
2011,1.342222222,,,
2012,0.333666667,,,
2013,2.208708333,2.208708333,2.21,2.21
2014,,0.888498143,-0.39,2.16
2015,,0.531212452,-0.75,1.82
2016,,-0.231081516,-1.53,1.07
2017,,1.863165183,0.56,3.17
2018,,0.475107605,-0.84,1.79
2019,,0.840773193,-0.49,2.17
2020,,1.16903982,-0.17,2.51
2021,,0.347190494,-1.00,1.70
2022,,1.183230599,-0.18,2.54
2023,,0.951928817,-0.42,2.32
2024,,1.897302259,0.52,3.28
2025,,1.693910922,0.30,3.09
2026,,1.819747324,0.42,3.22
2027,,1.358175193,-0.06,2.77
2028,,1.442174071,0.02,2.87
2029,,1.248644318,-0.19,2.69
2030,,1.566755093,0.12,3.02
2031,,1.923856026,0.46,3.38
2032,,1.600901291,0.13,3.07
2033,,1.585220003,0.10,3.07
2034,,2.495119262,1.00,3.99
2035,,1.206291752,-0.30,2.71
2036,,2.004062527,0.49,3.52
2037,,1.760098882,0.23,3.29
2038,,2.468894192,0.93,4.01
2039,,2.092888506,0.54,3.65
2040,,1.838316808,0.27,3.40
2041,,1.435620773,-0.14,3.01
2042,,1.505216723,-0.09,3.10
2043,,2.530992232,0.93,4.13
2044,,2.140619073,0.53,3.76
2045,,2.028911469,0.40,3.66
